City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Butaritari,KI,81.86,light rain,3.0707,172.7902,Isles Sunset Lodge
6,Bengkulu,ID,84.56,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
9,Naze,JP,83.32,scattered clouds,28.3667,129.4833,オーベルジュ・アガルイ
10,Big Spring,US,81.88,clear sky,32.2504,-101.4787,Hampton Inn & Suites Big Spring
13,Hilo,US,78.53,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
15,Victoria,HK,84.38,overcast clouds,22.2855,114.1577,Mini Hotel Central
18,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
28,Puerto Escondido,MX,80.4,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
39,Porbandar,IN,80.58,haze,21.6422,69.6093,Lords Inn Porbandar
40,Arlit,NE,80.13,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
47,Sao Filipe,CV,79.47,broken clouds,14.8961,-24.4956,Hotel Xaguate
48,Meulaboh,ID,83.86,overcast clouds,4.1363,96.1285,Kost Pria
55,Cabo San Lucas,MX,87.1,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
56,Mildura,AU,85.06,few clouds,-34.2,142.15,Mercure Hotel Mildura
63,Luwuk,ID,87.73,few clouds,-0.9516,122.7875,Hotel Santika Luwuk
64,Basco,PH,83.62,broken clouds,20.4487,121.9702,Nathaniel's Lodge
68,Ballina,AU,82.58,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
76,Atuona,PF,77.68,clear sky,-9.8,-139.0333,Villa Enata
79,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
84,Porto Novo,BJ,80.42,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
86,Cockburn Town,TC,82.6,clear sky,21.4612,-71.1419,Osprey Beach Hotel
89,Taoudenni,ML,85.68,broken clouds,22.6783,-3.9836,
91,Aracati,BR,79.7,overcast clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
92,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
94,Kavaratti,IN,82.35,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
96,Baculin,PH,84.61,moderate rain,7.4525,126.5842,Shovy's Cove
103,Boa Vista,BR,78.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
105,Padang,ID,84.25,broken clouds,-0.9492,100.3543,Mercure Padang
107,Tezu,IN,85.51,clear sky,27.9167,96.1667,Circuit House
120,Mareeba,AU,86.32,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
122,Buala,SB,84.83,light rain,-8.145,159.5921,Maringe Lagoon Lodge
127,Malanville,BJ,79.68,overcast clouds,11.8685,3.3899,DEVO HOTEL
129,Jizan,SA,79.74,overcast clouds,17.3333,42.6667,شهدان. ابوالحجر
133,Malabo,GQ,78.69,moderate rain,3.75,8.7833,Hostal Residencia Morenita
138,Salalah,OM,78.89,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
145,Bushehr,IR,86.02,clear sky,28.9684,50.8385,Yas Hotel
160,San Patricio,US,79.83,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
161,Dubti,ET,80.2,moderate rain,11.7361,41.0853,degu Shiferaw
162,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
164,Gushikawa,JP,85.23,few clouds,26.3544,127.8686,Kirari Guest House
170,Razole,IN,84.49,overcast clouds,16.4833,81.8333,Sterling Palavelli Godavari
172,Hervey Bay,AU,82.04,clear sky,-25.2986,152.8535,Shelly Bay Resort
175,Touros,BR,79.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
177,Bonthe,SL,76.8,moderate rain,7.5264,-12.505,Bonthe Holiday Village
189,Airai,TL,82.31,clear sky,-8.9266,125.4092,Juvinal Martin
193,Merauke,ID,85.91,overcast clouds,-8.4667,140.3333,
195,Mecca,SA,81.09,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
199,Hithadhoo,MV,82.65,overcast clouds,-0.6,73.0833,Scoop Guest House
205,Haimen,CN,76.89,light rain,23.1935,116.6142,Jinghao Business Hotel
207,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
215,Victoria Point,AU,85.15,clear sky,-27.5833,153.3,Bay Retreat Motel
217,Le Vauclin,MQ,82.45,overcast clouds,14.5452,-60.8388,Hôtel Cap Macabou
220,Dingle,PH,78.58,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
224,Kidal,ML,80.94,clear sky,18.4411,1.4078,
229,Hambantota,LK,82.74,few clouds,6.1241,81.1185,Bungalow 63
