City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,64.31,87,100,1.99,overcast clouds
1,Butaritari,KI,3.0707,172.7902,81.86,77,17,12.66,light rain
2,Wau,SS,7.7029,27.9953,72.72,88,80,3.31,broken clouds
3,Ponta Do Sol,PT,32.6667,-17.1,72.23,73,97,3.56,overcast clouds
4,Jamestown,US,42.097,-79.2353,68.72,82,90,6.91,overcast clouds
5,Lavrentiya,RU,65.5833,-171.0,34.52,82,100,18.92,overcast clouds
6,Bengkulu,ID,-3.8004,102.2655,84.56,67,13,9.6,few clouds
7,New Norfolk,AU,-42.7826,147.0587,60.71,68,96,1.01,overcast clouds
8,Dikson,RU,73.5069,80.5464,28.33,74,100,23.04,light snow
9,Naze,JP,28.3667,129.4833,83.32,83,37,19.75,scattered clouds
10,Big Spring,US,32.2504,-101.4787,81.88,32,1,8.01,clear sky
11,Prince Rupert,CA,54.3161,-130.3201,49.69,90,90,12.66,moderate rain
12,Russell,US,32.3502,-85.1999,73.0,90,1,0.0,fog
13,Hilo,US,19.7297,-155.09,78.53,80,90,11.5,light rain
14,Te Anau,NZ,-45.4167,167.7167,57.76,54,46,2.19,light rain
15,Victoria,HK,22.2855,114.1577,84.38,87,100,1.99,overcast clouds
16,Thompson,CA,55.7435,-97.8558,32.16,86,1,0.0,clear sky
17,Busselton,AU,-33.65,115.3333,60.04,50,69,6.73,broken clouds
18,Avarua,CK,-21.2078,-159.775,77.05,69,40,4.61,scattered clouds
19,Waipawa,NZ,-41.4122,175.5153,59.63,70,95,9.86,overcast clouds
20,Bambous Virieux,MU,-20.3428,57.7575,70.05,88,40,9.22,light rain
21,Marystown,CA,47.1666,-55.1483,46.85,100,76,10.0,broken clouds
22,Khatanga,RU,71.9667,102.5,19.81,96,99,2.98,overcast clouds
23,Ushuaia,AR,-54.8,-68.3,37.06,93,40,17.27,scattered clouds
24,Bluff,NZ,-46.6,168.3333,55.8,62,51,8.32,broken clouds
25,Saint-Philippe,RE,-21.3585,55.7679,69.39,81,92,14.76,light rain
