City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2021-10-07 22:21:37,-33.65,115.3333,49.08,74,72,8.21
1,Qaanaaq,GL,2021-10-07 22:21:37,77.484,-69.3632,18.97,61,81,7.61
2,Mulege,MX,2021-10-07 22:21:37,26.8833,-111.9833,90.03,35,36,9.37
3,George,ZA,2021-10-07 22:21:38,-33.963,22.4617,60.35,67,20,3.44
4,Dire,ML,2021-10-07 22:21:38,12.2833,-10.9667,74.52,95,100,6.2
5,Naryan-Mar,RU,2021-10-07 22:21:38,67.6713,53.087,46.83,87,100,26.71
6,Saint-Philippe,RE,2021-10-07 22:21:39,-21.3585,55.7679,67.59,78,75,7.14
7,Mataura,NZ,2021-10-07 22:21:39,-46.1927,168.8643,57.47,56,99,3.38
8,Ushuaia,AR,2021-10-07 22:21:39,-54.8,-68.3,46.06,57,0,0.0
9,Pitimbu,BR,2021-10-07 22:21:40,-7.4706,-34.8086,77.59,77,85,12.84
10,Salalah,OM,2021-10-07 22:21:40,17.0151,54.0924,80.69,89,75,8.05
11,Turukhansk,RU,2021-10-07 22:21:40,65.8167,87.9833,39.09,96,100,10.56
12,Pacific Grove,US,2021-10-07 22:17:08,36.6177,-121.9166,73.15,71,20,1.01
13,Mar Del Plata,AR,2021-10-07 22:21:41,-38.0023,-57.5575,52.88,58,0,10.0
14,Puerto Ayora,EC,2021-10-07 22:21:41,-0.7393,-90.3518,70.56,90,85,10.0
15,Yulara,AU,2021-10-07 22:21:41,-25.2406,130.9889,67.84,49,0,13.8
16,Jamestown,US,2021-10-07 22:21:42,42.097,-79.2353,76.32,67,1,3.44
17,Punta Arenas,CL,2021-10-07 22:21:42,-53.15,-70.9167,50.11,50,0,17.27
18,Kruisfontein,ZA,2021-10-07 22:21:42,-34.0033,24.7314,66.25,60,100,8.46
19,Khatanga,RU,2021-10-07 22:21:42,71.9667,102.5,18.21,93,100,8.68
20,Avarua,CK,2021-10-07 22:21:43,-21.2078,-159.775,78.85,69,75,11.5
21,Clyde River,CA,2021-10-07 22:21:43,70.4692,-68.5914,30.43,100,90,5.75
22,Narrabri,AU,2021-10-07 22:21:44,-30.3167,149.7833,66.78,58,6,0.6
23,Rikitea,PF,2021-10-07 22:21:44,-23.1203,-134.9692,73.74,76,54,8.41
24,Severo-Kurilsk,RU,2021-10-07 22:21:44,50.6789,156.125,45.72,75,25,16.02
25,Ahipara,NZ,2021-10-07 22:21:44,-35.1667,173.1667,60.91,78,11,10.83
26,Lavrentiya,RU,2021-10-07 22:21:45,65.5833,-171.0,34.68,95,100,6.08
27,Nioro,GM,2021-10-07 22:21:45,13.35,-15.75,75.4,90,74,4.09
28,Chifeng,CN,2021-10-07 22:21:46,42.2683,118.9636,45.57,56,2,4.09
29,Vaini,TO,2021-10-07 22:21:46,-21.2,-175.2,74.64,85,8,17.56
30,Batagay-Alyta,RU,2021-10-07 22:21:46,67.8006,130.4114,24.01,68,100,4.47
31,Tuktoyaktuk,CA,2021-10-07 22:21:46,69.4541,-133.0374,33.8,75,20,8.05
32,Xique-Xique,BR,2021-10-07 22:21:47,-10.8218,-42.7263,83.89,44,14,8.03
33,Albany,US,2021-10-07 22:17:50,42.6001,-73.9662,70.41,84,5,2.39
34,Bengkulu,ID,2021-10-07 22:21:47,-3.8004,102.2655,74.25,91,77,3.69
35,Broken Hill,AU,2021-10-07 22:21:47,-31.95,141.4333,59.9,29,7,8.55
36,Victoria,HK,2021-10-07 22:21:02,22.2855,114.1577,78.94,95,100,1.01
37,Northam,GB,2021-10-07 22:21:48,51.0333,-4.2167,60.42,91,51,8.1
38,Coahuayana,MX,2021-10-07 22:21:48,18.7333,-103.6833,90.88,69,33,4.68
39,Cape Town,ZA,2021-10-07 22:18:45,-33.9258,18.4232,59.09,70,75,16.11
40,Avera,US,2021-10-07 22:21:49,33.194,-82.5271,75.74,81,72,7.58
41,Botwood,CA,2021-10-07 22:21:49,49.1499,-55.3482,51.91,68,95,5.12
42,Vila Franca Do Campo,PT,2021-10-07 22:21:49,37.7167,-25.4333,70.2,90,99,6.08
43,Sept-Iles,CA,2021-10-07 22:17:54,50.2001,-66.3821,52.05,65,75,3.44
44,Edd,ER,2021-10-07 22:21:50,13.9297,41.6925,86.95,74,100,2.86
45,Barrow,US,2021-10-07 22:21:50,71.2906,-156.7887,33.82,80,90,8.05
46,Ferrol,ES,2021-10-07 22:21:50,43.4832,-8.2369,62.85,84,74,3.04
47,Atuona,PF,2021-10-07 22:20:55,-9.8,-139.0333,77.83,78,10,15.48
48,Gidole,ET,2021-10-07 22:21:50,5.65,37.3667,60.21,76,99,5.28
49,Laguna,US,2021-10-07 22:21:51,38.421,-121.4238,77.45,35,75,4.0
50,Mogadishu,SO,2021-10-07 22:21:51,2.0371,45.3438,77.5,81,100,17.38
51,Provideniya,RU,2021-10-07 22:21:51,64.3833,-173.3,37.51,81,90,11.18
52,Gurupa,BR,2021-10-07 22:21:52,-1.405,-51.64,83.41,62,62,8.05
53,Mezen,RU,2021-10-07 22:21:52,65.8522,44.24,49.08,78,100,17.36
54,Castro,BR,2021-10-07 22:21:52,-24.7911,-50.0119,59.0,99,99,8.9
55,Norman Wells,CA,2021-10-07 22:21:53,65.282,-126.8329,30.24,93,75,4.61
56,Mahebourg,MU,2021-10-07 22:21:53,-20.4081,57.7,69.26,88,75,11.5
57,Ballina,AU,2021-10-07 22:21:53,-28.8667,153.5667,73.58,64,5,12.37
58,Thompson,CA,2021-10-07 22:18:56,55.7435,-97.8558,55.56,71,90,12.66
59,Jardim,BR,2021-10-07 22:21:54,-21.4803,-56.1381,75.0,88,91,2.59
60,Carnarvon,AU,2021-10-07 22:21:54,-24.8667,113.6333,60.87,72,0,14.97
61,Salina Cruz,MX,2021-10-07 22:19:23,16.1667,-95.2,88.81,50,64,23.04
62,Yellowknife,CA,2021-10-07 22:20:11,62.456,-114.3525,38.41,94,90,1.99
63,Pangai,TO,2021-10-07 22:21:54,-19.8,-174.35,77.47,82,42,11.7
64,Ribeira Grande,PT,2021-10-07 22:21:55,38.5167,-28.7,70.11,70,3,7.52
65,Coquimbo,CL,2021-10-07 22:19:03,-29.9533,-71.3436,56.93,71,90,10.36
66,Saint Anthony,US,2021-10-07 22:21:55,45.0205,-93.218,71.15,78,90,3.0
67,Ise,JP,2021-10-07 22:21:55,34.4833,136.7,75.6,83,2,3.6
68,Quatre Cocos,MU,2021-10-07 22:21:56,-20.2078,57.7625,69.1,82,97,13.42
